度数3  insert:19.2964  delete:4.10331
度数4  insert:15.181  delete:2.61653
度数5  insert:14.2935  delete:1.83928
度数6  insert:13.483  delete:1.53227
度数7  insert:12.2894  delete:1.11313
度数8  insert:12.316  delete:0.954482
度数9  insert:12.1528  delete:0.820598
度数10  insert:12.1394  delete:0.740395
度数11  insert:11.5027  delete:0.638971
度数12  insert:11.7869  delete:0.581126
度数13  insert:11.3799  delete:0.484946
度数14  insert:11.7566  delete:0.458333
度数15  insert:11.7204  delete:0.42339
度数16  insert:12.048  delete:0.399066
度数17  insert:12.0654  delete:0.380816
度数18  insert:11.8669  delete:0.361776
度数19  insert:11.7142  delete:0.329639
度数20  insert:11.9851  delete:0.325859
度数21  insert:11.7694  delete:0.291644
度数22  insert:12.0717  delete:0.291034
度数23  insert:11.9031  delete:0.266073
度数24  insert:12.1707  delete:0.251224
度数25  insert:12.1507  delete:0.231711
度数26  insert:12.3525  delete:0.219906
度数27  insert:12.1799  delete:0.209506
度数28  insert:12.4156  delete:0.201776
度数29  insert:12.2276  delete:0.190466
度数30  insert:12.4148  delete:0.18506
度数31  insert:12.4374  delete:0.172932
度数32  insert:12.7625  delete:0.173928
度数33  insert:13.1108  delete:0.208794
度数34  insert:13.064  delete:0.207637
度数35  insert:12.8932  delete:0.186316
度数36  insert:13.2405  delete:0.19941
度数37  insert:13.0323  delete:0.188889
度数38  insert:13.4675  delete:0.190219
度数39  insert:13.328  delete:0.16482
度数40  insert:13.5504  delete:0.178931
度数41  insert:13.3993  delete:0.168774
度数42  insert:13.7109  delete:0.170559
度数43  insert:13.8918  delete:0.169019
度数44  insert:13.7323  delete:0.154886
度数45  insert:13.8023  delete:0.142515
度数46  insert:13.9052  delete:0.135614
度数47  insert:13.9143  delete:0.147891
度数48  insert:13.9848  delete:0.141723
度数49  insert:13.997  delete:0.127922
度数50  insert:14.0898  delete:0.137767
度数51  insert:14.3358  delete:0.122984
度数52  insert:14.3266  delete:0.129363
度数53  insert:14.3812  delete:0.128255
度数54  insert:14.4489  delete:0.124911
度数55  insert:14.5049  delete:0.119066
度数56  insert:14.6734  delete:0.120834
度数57  insert:14.6776  delete:0.119786
度数58  insert:14.9087  delete:0.117166
度数59  insert:14.9053  delete:0.102267
度数60  insert:15.2077  delete:0.109318
度数61  insert:14.9914  delete:0.111496
度数62  insert:15.6795  delete:0.107848
度数63  insert:15.2588  delete:0.103295
度数64  insert:15.357  delete:0.102538
度数65  insert:15.5327  delete:0.101177
度数66  insert:15.5993  delete:0.119051
度数67  insert:15.6829  delete:0.115847
度数68  insert:15.8523  delete:0.11707
度数69  insert:16.0167  delete:0.111852
度数70  insert:16.1808  delete:0.110701
度数71  insert:16.1687  delete:0.106787
度数72  insert:16.265  delete:0.109668
度数73  insert:16.3521  delete:0.106957
度数74  insert:16.5475  delete:0.103449
度数75  insert:16.5471  delete:0.101862
度数76  insert:16.7382  delete:0.100878
度数77  insert:16.7606  delete:0.10262
度数78  insert:16.9479  delete:0.100673
度数79  insert:16.9285  delete:0.101743
度数80  insert:17.2553  delete:0.098641
度数81  insert:17.3493  delete:0.095164
度数82  insert:17.3096  delete:0.094355
度数83  insert:17.3497  delete:0.092007
度数84  insert:17.4967  delete:0.091112
度数85  insert:17.5346  delete:0.091885
度数86  insert:17.7495  delete:0.089289
度数87  insert:17.652  delete:0.088226
度数88  insert:17.8358  delete:0.087053
度数89  insert:18.1402  delete:0.085349
度数90  insert:18.091  delete:0.084574
度数91  insert:18.2836  delete:0.082688
度数92  insert:18.1843  delete:0.083617
度数93  insert:18.1811  delete:0.082714
度数94  insert:18.3713  delete:0.082487
度数95  insert:18.4165  delete:0.082611
度数96  insert:18.4622  delete:0.07875
度数97  insert:18.6516  delete:0.078207
度数98  insert:18.6014  delete:0.07665
度数99  insert:18.6438  delete:0.074825
度数100  insert:18.6388  delete:0.07612
度数101  insert:18.5992  delete:0.075006
度数102  insert:18.7597  delete:0.075267
度数103  insert:18.6664  delete:0.073253
度数104  insert:18.7958  delete:0.075854
度数105  insert:18.8929  delete:0.071289
度数106  insert:19.0566  delete:0.071399
度数107  insert:18.8864  delete:0.071125
度数108  insert:18.968  delete:0.069484
度数109  insert:18.9066  delete:0.07338
度数110  insert:19.0417  delete:0.074327
度数111  insert:19.0753  delete:0.067302
度数112  insert:19.0886  delete:0.069457
度数113  insert:19.1816  delete:0.066398
度数114  insert:19.3087  delete:0.066644
度数115  insert:19.261  delete:0.065149
度数116  insert:19.4515  delete:0.067531
度数117  insert:19.4551  delete:0.063936
度数118  insert:19.5352  delete:0.064212
度数119  insert:19.6366  delete:0.065604
度数120  insert:19.7295  delete:0.06846
度数121  insert:19.7669  delete:0.062908
度数122  insert:19.864  delete:0.060683
度数123  insert:19.8896  delete:0.064866
度数124  insert:19.9583  delete:0.061894
度数125  insert:20.0124  delete:0.061634
度数126  insert:20.1159  delete:0.062708
度数127  insert:20.1295  delete:0.059761
度数128  insert:20.7803  delete:0.060434
度数129  insert:21.2092  delete:0.076147
度数130  insert:20.514  delete:0.077084
度数131  insert:20.5689  delete:0.079201
度数132  insert:20.6755  delete:0.066725
度数133  insert:21.0908  delete:0.072996
度数134  insert:20.9844  delete:0.073902
度数135  insert:21.1224  delete:0.070164
度数136  insert:21.2791  delete:0.068886
度数137  insert:21.3286  delete:0.070687
度数138  insert:21.3299  delete:0.070445
度数139  insert:21.2826  delete:0.064088
度数140  insert:21.3811  delete:0.071229
度数141  insert:21.5246  delete:0.067822
度数142  insert:21.6137  delete:0.073161
度数143  insert:21.7319  delete:0.069607
度数144  insert:21.8739  delete:0.068537
度数145  insert:21.8014  delete:0.066558
度数146  insert:22.13  delete:0.067964
度数147  insert:22.1299  delete:0.067467
度数148  insert:22.2159  delete:0.066287
度数149  insert:22.1225  delete:0.065985
度数150  insert:22.3149  delete:0.06488
度数151  insert:22.3934  delete:0.065158
度数152  insert:22.413  delete:0.064179
度数153  insert:22.8492  delete:0.05598
度数154  insert:23.0105  delete:0.062997
度数155  insert:22.7106  delete:0.062077
度数156  insert:22.945  delete:0.063977
度数157  insert:23.0342  delete:0.061214
度数158  insert:23.0608  delete:0.062226
度数159  insert:23.2077  delete:0.052383
度数160  insert:23.3303  delete:0.062109
度数161  insert:23.3661  delete:0.060885
度数162  insert:23.4634  delete:0.060415
度数163  insert:23.388  delete:0.063052
度数164  insert:23.6149  delete:0.058978
度数165  insert:23.6398  delete:0.059289
度数166  insert:23.814  delete:0.058598
度数167  insert:23.8592  delete:0.057698
度数168  insert:23.9283  delete:0.05783
度数169  insert:24.0413  delete:0.048044
度数170  insert:24.2103  delete:0.059605
度数171  insert:24.2619  delete:0.049718
度数172  insert:24.4896  delete:0.058131
度数173  insert:24.3896  delete:0.057842
度数174  insert:24.6197  delete:0.05709
度数175  insert:24.6422  delete:0.055771
度数176  insert:24.7952  delete:0.051676
度数177  insert:25.0951  delete:0.062635
度数178  insert:25.1125  delete:0.055319
度数179  insert:24.9694  delete:0.055469
度数180  insert:25.17  delete:0.055204
度数181  insert:25.2817  delete:0.059527
度数182  insert:25.1913  delete:0.054875
度数183  insert:25.4456  delete:0.055893
度数184  insert:25.4038  delete:0.055583
度数185  insert:25.4477  delete:0.045117
度数186  insert:25.7563  delete:0.046993
